#Типы send функций,Значение (ETC - другое),Сообщение,Тип сообщения: DEBUG - для отладки

#,0,Закрыть,

#,0,Покупка лошади,
0,-125,Недостаточно золота.,#	所持金不足
0,-1,Ошибка при покупке.,#		その他
0,-2,Конюшня переполнена.,#	厩舎がいっぱいのとき
0,-3,Имя уже используется.,#	同じ名前の馬がいるとき
0,-30000,Используйте только русские буквы, цифры и нижнее подчеркивание.,

#,1,Верховая езда,
1,-1,Невозможно сесть на коня.,#	Лошадь ездить не умеет
1,-2,Ошибка при попытке сесть на коня.,# Ошибка
1,-3,Данный класс не может ездить верхом.,#	Несоответствующий класс

#,2,Действие с лошадью,
2,-1,Вы уже сидите верхом на коне.,#	他の馬に乗っている
2,-2,Вы не сидите на коне.,#	馬に乗っていない

#,3,Спешиться,
3,ETC,Ошибка при попытке спешиться.,#		その他

#,4,Тренировка коня,
4,-1,Ошибка при тренировке коня.,#		その他
4,-2,Невозможно начать тренировку.,#	調教できる馬ではない

#,10,Группа,

#,10,Создание открытой группы,
10,-1,Ошибка при создании группы для всех.,#	リソースが足りないなど
10,-123,Персонаж не существует.,# 誘ったキャラが見つからない
10,-5002,Персонаж уже состоит в группе.,#		すでに他のパーティに入っている、または誘われている
10,-5009,Персонаж уже приглашен. Невозможно пригласить.,
10,-5012,У персонажа включена функция автоматического отклонения всех приглашений в группу.,# 拒否設定
10,-5013,На этой территории нельзя создать группу.,# このマップではパーティの作成ができない
10,-5014,На этой территории нельзя вступить в группу.,# このマップではパーティにINできない
10,-5015,Нельзя пригласить игрока в группу,# 対象はパーティに誘うことができない
10,-5016,Команда не может быть использована на этой территории.,# マップ制限
10,-5017,"Команда не может быть использована, персонаж за допустимыми границами карты.",# マップ制限

#,11,Создание частной группы,
11,-123,Персонаж не существует.,#		誘ったキャラがみつからない
11,-5001,В группе нет свободных мест.,#		パーティ人数が既に最大値に達している
11,-5002,Персонаж уже состоит в группе.,#		すでに他のパーティに入っている、または誘われている
11,-5009,Персонаж уже приглашен. Невозможно пригласить.,
11,-5012,У персонажа включена функция автоматического отклонения всех приглашений в группу.,# 拒否設定
11,-5014,На этой территории нельзя вступить в группу.,# このマップではパーティにINできない
11,-5015,Нельзя пригласить игрока в группу,# 対象はパーティに誘うことができない
11,-5016,Команда не может быть использована на этой территории.,# マップ制限
11,-5017,"Команда не может быть использована, персонаж за допустимыми границами карты.",# マップ制限

#,12,Открытая группа,
12,-123,Персонаж не существует.,# 誘ったキャラが見つからない
12,-5001,В группе нет свободных мест.,#		パーティ人数が既に最大値に達している
12,-5002,Персонаж уже состоит в группе.,#		すでに他のパーティに入っている、または誘われている
12,-5009,Персонаж уже приглашен. Невозможно пригласить.,
12,-5012,У персонажа включена функция автоматического отклонения всех приглашений в группу.,# 拒否設定
12,-5014,На этой территории нельзя вступить в группу.,# このマップではパーティにINできない
12,-5015,Нельзя пригласить игрока в группу,# 対象はパーティに誘うことができない
12,-5016,Команда не может быть использована на этой территории.,# マップ制限
12,-5017,"Команда не может быть использована, персонаж за допустимыми границами карты.",# マップ制限

#,13,Участие в открытой группе,
13,-1,Ошибка при распределении предметов.,DEBUG
13,-1000,Предмет не найден.,#		アイテムデータが見付からない
13,-1009,Инвентарь полон.,#	インベントリが一杯
13,-5003,Несоответствие необходимым требованиям.,#		リクエスト要求に従う条件にない
13,-5006,Не в группе.,#		パーティに参加していない
13,-5016,Команда не может быть использована на этой территории.,# マップ制限
13,-5017,"Команда не может быть использована, персонаж за допустимыми границами карты.",# マップ制限

#,14,Распределение предметов,
14,-1,Ошибка при передаче права распределения предметов.,DEBUG
14,-1000,Предмет не найден.,#		アイテムデータが見付からない
14,-5003,Несоответствие необходимым требованиям.,#		リクエスト要求に従う条件にない
14,-5006,Не в группе.,#		パーティに参加していない
14,-5016,Команда не может быть использована на этой территории.,# マップ制限
14,-5017,"Команда не может быть использована, персонаж за допустимыми границами карты.",# マップ制限

#,15,Запрос о распределении предметов,
15,-1,Ошибка при передаче права распределения предметов.,DEBUG
15,-5003,Несоответствие необходимым требованиям.,#		リクエスト要求に従う条件にない
15,-5006,Не в группе.,#		パーティに参加していない
15,-5007,Нет предметов для распределения.,#	パーティアイテムが空
15,-5008,Ожидание подтверждения распределения предметов.,#			アイテム分配確認中
15,-5016,Команда не может быть использована на этой территории.,# マップ制限
15,-5017,"Команда не может быть использована, персонаж за допустимыми границами карты.",# マップ制限

#,16,Исключение из группы
16,-5000,Группа не найдена.,
16,-5001,Достигнуто предельное количество игроков в группе.,
16,-5010,Распределены не все предметы. Нельзя выгнать.,
16,-5011,У вас нет права выгонять игроков.,
16,-5016,Команда не может быть использована на этой территории.,# マップ制限
16,-5017,"Команда не может быть использована, персонаж за допустимыми границами карты.",# マップ制限

#,17,Группа
17,-5016,Команда не может быть использована на этой территории.,# マップ制限
17,-5017,"Команда не может быть использована, персонаж за допустимыми границами карты.",# マップ制限


#,20,Предметы,

#,20,Перемещение предмета,
20,-1,Ошибка при передаче предмета.,#		一般エラー。DBエラーなどで使用
20,-1000,Предметов нет.,#		アイテムデータが見付からない
20,-1001,Неверное количество предметов.,#	不正なアイテム個数
20,-1002,Неверный слот.,#		不正なアイテム位置
20,-1003,Невозможно создать предмет.,#	アイテムが作成できない
20,-1005,Предмет используется.,#		装備中のアイテム
20,-1012,Предмет не может быть перемещен.,# 制限アイテム
20,-1022,Хранилище гильдии недоступно.,#	クラン倉庫権限がない

#,21,Экипировать вещь,
21,-1,Ошибка при использовании предмета.,#		一般エラー。DBエラーなどで使用
21,-1000,Предметов нет.,#		アイテムデータが見付からない
21,-1002,Неверное расположение предмета.,#		不正なアイテム位置
21,-1008,Несоответствие требованиям предмета.,#		装備条件に合わないアイテム
21,-1010,Невозможно использовать во время действия умения.,#		スキル効果でアイテムが装備できない
